ID,Show,Date,Year,Venue ID,Venue,City
1,Rareform/Continent Tour,10/8/2018,2018,1,The Phoenix,Toronto
2,Warped Tour 2011,7/15/2011,2011,2,Arrow Hall,Toronto
3,Green Day / AFI,8/18/2010,2010,3,Budweiser Stage (Molson Amphitheatre),Toronto
4,Volition Tour,11/8/2013,2013,4,La Tulipe,Montreal
5,KOI Fest 2012,9/14/2012,2012,5,Downtown,Kitchener
6,KOI Fest 2011,9/17/2011,2011,5,Downtown,Kitchener
7,Heavy TO,8/12/2012,2012,6,Downsview Park,Toronto
8,Crush 'Em All 2 Tour,9/21/2011,2011,7,Axis Club (Mod Club),Toronto
9,All Stars Tour,8/2/2011,2011,8,Rebel (Sound Academy),Toronto
10,Alesana Spring US Tour,4/23/2008,2008,9,Opera House,Toronto
11,Warped Tour 2009,7/10/2009,2009,2,Arrow Hall,Toronto
12,Alexisonfire Winter Tour,12/17/2010,2010,8,Rebel (Sound Academy),Toronto
13,"Alexisonfire ""Farewell"" Tour",12/30/2012,2012,10,Copps Coliseum,Hamilton
14,Riot Fest 2015,9/19/2015,2015,6,Downsview Park,Toronto
15,Blackdiamondskye Tour,9/18/2010,2010,3,Budweiser Stage (Molson Amphitheatre),Toronto
16,AP Tour 2008,4/5/2008,2008,1,The Phoenix,Toronto
17,"The Compromising of Integrity, Morality & Principles in Exchange for Money Tour",11/23/2008,2008,11,Kool Haus,Toronto
18,California Tour,8/21/2016,2016,3,Budweiser Stage (Molson Amphitheatre),Toronto
19,Coming Home for the Summer 2,7/14/2022,2022,3,Budweiser Stage (Molson Amphitheatre),Toronto
20,ERRA Tour,8/10/2022,2022,15,Velvet Underground,Toronto
21,The Madness of Many Tour,11/28/2016,2016,9,Opera House,Toronto
22,Afraid of Heights Tour,2/27/2017,2017,13,Scotiabank Arena (Air Canada Centre),Toronto
23,Summer Slaughter Tour 2013,8/8/2013,2013,8,Rebel (Sound Academy),Toronto
24,Warped Tour 2010,7/9/2010,2010,2,Arrow Hall,Toronto
25,Warped Tour 2013,7/5/2013,2013,31,Echo Beach,Toronto
26,Phantom Anthem Tour,1/6/2018,2018,14,Danforth Music Hall,Toronto
27,All Our Gods Have Abandoned Us Tour,4/6/2017,2017,14,Danforth Music Hall,Toronto
28,"Underoath ""Farewell"" Tour",1/18/2013,2013,8,Rebel (Sound Academy),Toronto
29,Cool Tour,7/17/2010,2010,8,Rebel (Sound Academy),Toronto
30,AP Tour 2010,11/20/2010,2010,11,Kool Haus,Toronto
31,Toursick,4/14/2010,2010,8,Rebel (Sound Academy),Toronto
32,Mandroid US/Canada Tour,6/4/2016,2016,15,Velvet Underground,Toronto
33,Avenged Sevenfold Album Tour,12/17/2008,2008,8,Rebel (Sound Academy),Toronto
34,Rockstar Uproar Tour,8/24/2010,2010,3,Budweiser Stage (Molson Amphitheatre),Toronto
35,Leprous/Haken Co-Headliner,10/31/2018,2018,9,Opera House,Toronto
36,Transcending the Coma Tour,9/20/2016,2016,14,Danforth Music Hall,Toronto
37,BTBAM North American Tour 2011,4/21/2011,2011,9,Opera House,Toronto
38,Colors 10th Anniversary,9/29/2017,2017,9,Opera House,Toronto
39,Parallax II: Future Sequence Tour,2/18/2014,2014,1,The Phoenix,Toronto
40,Deadmen and Dragons Tour,10/25/2022,2022,8,Rebel (Sound Academy),Toronto
41,Honda Civic Tour,8/17/2011,2011,3,Budweiser Stage (Molson Amphitheatre),Toronto
42,This War Is Ours Tour,11/15/2008,2008,8,Rebel (Sound Academy),Toronto
43,Chon/BTBAM Co-Headliner,11/24/2019,2019,1,The Phoenix,Toronto
44,No Mercy Canadian Tour,2/20/2011,2011,16,The Rockpile,Etobicoke
45,Language/Exoplanet Tour,9/28/2022,2022,17,St. Andrews Hall,Detroit
46,Deftones/The Contortionist 2013,3/1/2013,2013,11,Kool Haus,Toronto
47,The Canadian Rehabilitation Tour 2,10/26/2012,2012,18,Sneaky Dee's,Toronto
48,Polaris North America 2015 Tour,11/6/2015,2015,1,The Phoenix,Toronto
49,Reimagined Tour,11/29/2018,2018,1,The Phoenix,Toronto
50,Metalsucks Tour 2015,2/26/2015,2015,19,Tattoo Rock Parlour,Toronto
51,Neon Alien Tour,8/29/2019,2019,7,Axis Club (Mod Club),Toronto
52,Trilogy 2020 Tour,3/6/2020,2020,20,Hard Luck Bar,Toronto
53,No Fix Tour,5/12/2018,2018,21,Rapids Theatre,Niagara Falls
54,An Evening With Friends Tour,8/17/2022,2022,1,The Phoenix,Toronto
55,Deftones Spring 2022 Tour,5/22/2022,2022,3,Budweiser Stage (Molson Amphitheatre),Toronto
56,Zombie Tour,8/14/2022,2022,14,Danforth Music Hall,Toronto
57,Winterizer 2010,11/27/2010,2010,22,London Music Hall,London
58,Devy North America 2020,2/27/2020,2020,1,The Phoenix,Toronto
59,Do You Even Riff? Tour,8/16/2013,2013,20,Hard Luck Bar,Toronto
60,The Faceless Headliner 2013,6/11/2013,2013,23,Annex Wreckroom,Toronto
61,Arsonists Tour Summer 2011,6/21/2011,2011,24,Club Absinthe,Hamilton
62,Fall of Troy Farewell 2010,4/15/2010,2010,23,Annex Wreckroom,Toronto
63,Sheet Happens Tour 2022,9/10/2022,2022,9,Opera House,Toronto
64,The Shape of Colour Tour,4/23/2016,2016,25,Adelaide Hall,Toronto
65,One Last Time,12/13/2019,2019,14,Danforth Music Hall,Toronto
66,Hollerado Canadian Tour,9/26/2013,2013,26,The Starlight,Waterloo
67,Wakestock 2010,8/6/2010,2010,27,Millenium Overlook Park,Barrie
68,Hollerado Fall Tour 2011,10/15/2011,2011,9,Opera House,Toronto
69,Structures Headliner,5/13/2013,2013,24,Club Absinthe,Hamilton
70,Washington Parish Fair,10/20/2017,2017,28,Washington Parish Fair,Franklinton
71,The Hunter Tour,11/28/2011,2011,11,Kool Haus,Toronto
72,The Resistance Tour,3/8/2010,2010,13,Scotiabank Arena (Air Canada Centre),Toronto
73,MCR Reunion Tour,9/5/2022,2022,13,Scotiabank Arena (Air Canada Centre),Toronto
74,Evening of Talk and Music,9/28/2019,2019,29,Convocation Hall,Toronto
75,Skeleton Tree Tour,10/28/2018,2018,13,Scotiabank Arena (Air Canada Centre),Toronto
76,The King of Limbs Tour,6/15/2012,2012,30,Centre Bell,Montreal
77,The SnoCore Tour 2010,3/26/2010,2010,8,Rebel (Sound Academy),Toronto
78,Kezia X,12/4/2015,2015,9,Opera House,Toronto
79,Palimpsest Tour,6/11/2022,2022,22,London Music Hall,London
80,Gallop Meets the Earth Tour,12/18/2008,2008,8,Rebel (Sound Academy),Toronto
81,Beer! The Musical! Tour,4/25/2008,2008,8,Rebel (Sound Academy),Toronto
82,Pull Me From the Gallows Tour,5/31/2011,2011,23,Annex Wreckroom,Toronto
83,Scurrilous Tour,5/6/2011,2011,8,Rebel (Sound Academy),Toronto
84,Sigur Ros North America 2013,3/30/2013,2013,13,Scotiabank Arena (Air Canada Centre),Toronto
85,Valtari Tour,8/1/2012,2012,31,Echo Beach,Toronto
86,Sigur Ros North America 2017,6/3/2017,2017,32,Auditorium Theater,Chicago
87,North America F.E.A.R Tour,6/15/2022,2022,7,Axis Club (Mod Club),Toronto
88,Animal I Have Become Tour,11/8/2006,2006,11,Kool Haus,Toronto
89,Three Days Grace Headliner 2009,12/17/2009,2009,13,Scotiabank Arena (Air Canada Centre),Toronto
90,Protest the Hero Winter 2014,12/27/2014,2014,14,Danforth Music Hall,Toronto
91,Be United Canada Tour,5/18/2018,2018,20,Hard Luck Bar,Toronto
92,ABR US/Canada Tour,4/1/2011,2011,22,London Music Hall,London
93,Frozen Flame Tour,1/30/2015,2015,1,The Phoenix,Toronto
94,BTBAM Colors Livestream 2020,8/7/2020,2020,33,Twitch/Livestream,Internet
95,The Contortionist Clairvoyant Livestream,6/26/2021,2021,33,Twitch/Livestream,Internet
96,The Contortionist Exoplanet Livestream,7/27/2021,2021,33,Twitch/Livestream,Internet
97,Silent Planet Terminal Virtual Concert Experience,2/6/2021,2021,33,Twitch/Livestream,Internet
98,VOLA North America 2022,11/14/2022,2022,20,Hard Luck Bar,Toronto
99,With the Punches Summer 2012,7/18/2012,2012,20,Hard Luck Bar,Toronto
100,Dwight Yoakam Summer 2017,7/22/2017,2017,14,Danforth Music Hall,Toronto
101,Underoath Rebirth Tour,4/19/2016,2016,9,Opera House,Toronto
102,The Plot in You Fall 2022 NA Tour,11/24/2022,2022,9,Opera House,Toronto
103,BTBAM Automata Livestream 2021,3/20/2021,2021,33,Twitch/Livestream,Internet
104,Behaviour Sneaky Dee's,10/2/2018,2018,18,Sneaky Dee's,Toronto
105,A Eulogy For Those Who Are Still Here Tour,12/18/2022,2022,14,Danforth Music Hall,Toronto
106,The Hum Goes On Forever Tour,3/20/2023,2023,35,History,Toronto
107,Ontario Spring Tour 2023,4/15/2023,2023,36,Bridgeworks,Hamilton
108,Eternal Blue Tour,5/4/2023,2023,35,History,Toronto
109,Fauna Tour,5/5/2023,2023,9,Opera House,Toronto
110,The Death We Seek Tour,5/13/2023,2023,15,Velvet Underground,Toronto
111,So Much For Stardust Tour,7/30/2023,2023,3,Budweiser Stage (Molson Amphitheatre),Toronto
112,Alexisonfire Homecoming 2023,6/16/2023,2023,3,Budweiser Stage (Molson Amphitheatre),Toronto
113,Parallax II 10th Anniversary Tour,6/25/2023,2023,14,Danforth Music Hall,Toronto
114,Plini Guitar Clinic,7/29/2023,2023,37,Sheet Happens HQ,Toronto
115,Intervals Guitar Clinic,9/11/2022,2022,37,Sheet Happens HQ,Toronto
116,Hold the Girl Tour,8/10/2023,2023,35,History,Toronto
117,Fear the Premiere Tour,8/11/2023,2023,8,Rebel (Sound Academy),Toronto
