Show ID,Show,Date,Venue,Band,Band ID,Memorable Set,Notes
1,Rareform/Continent Tour,10/8/2018,The Phoenix,The Acacia Strain,1,,
1,Rareform/Continent Tour,10/8/2018,The Phoenix,Erra,45,,
1,Rareform/Continent Tour,10/8/2018,The Phoenix,After the Burial,5,,
1,Rareform/Continent Tour,10/8/2018,The Phoenix,Make Them Suffer,79,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,The Acacia Strain,1,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,A Day to Remember,35,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,August Burns Red,15,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,Dance Gavin Dance,34,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,The Devil Wears Prada,39,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,The Dillinger Escape Plan,41,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,Paramore,162,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,The Intake of Glass,64,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,The Word Alive,142,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,Miss May I,163,,
2,Warped Tour 2011,7/15/2011,Arrow Hall,Motionless in White,84,,
3,Green Day / AFI,8/18/2010,Budweiser Stage (Molson Amphitheatre),AFI,2,,
3,Green Day / AFI,8/18/2010,Budweiser Stage (Molson Amphitheatre),Green Day,59,,
4,Volition Tour,11/8/2013,La Tulipe,Affiance,3,X,"Dennis (vocalist) approached Marissa and I, assumed we were dating, then proceeded to talk about perogies with us for 5 min"
4,Volition Tour,11/8/2013,La Tulipe,Architects,12,,
4,Volition Tour,11/8/2013,La Tulipe,The Kindred (Today I Caught the Plague),73,,
4,Volition Tour,11/8/2013,La Tulipe,Protest the Hero,99,,
5,KOI Fest 2012,9/14/2012,Downtown,Auras,16,,
5,KOI Fest 2012,9/14/2012,Downtown,Counterparts,31,,
5,KOI Fest 2012,9/14/2012,Downtown,Ever Forthright,47,,
5,KOI Fest 2012,9/14/2012,Downtown,Mandroid Echostar,80,,
5,KOI Fest 2012,9/14/2012,Downtown,Northlane,90,,
5,KOI Fest 2012,9/14/2012,Downtown,Obey the Brave,91,,
5,KOI Fest 2012,9/14/2012,Downtown,Silverstein,111,,
5,KOI Fest 2012,9/14/2012,Downtown,Stray from the Path,114,,
5,KOI Fest 2012,9/14/2012,Downtown,Texas in July,119,,
5,KOI Fest 2012,9/14/2012,Downtown,The Intake of Glass,64,,
5,KOI Fest 2012,9/14/2012,Downtown,The Afterimage,4,,
5,KOI Fest 2012,9/14/2012,Downtown,Intervals,65,,
6,KOI Fest 2011,9/17/2011,Downtown,Counterparts,31,,
6,KOI Fest 2011,9/17/2011,Downtown,Dead and Divine,38,,
6,KOI Fest 2011,9/17/2011,Downtown,Blind Witness,143,,
6,KOI Fest 2011,9/17/2011,Downtown,Stray from the Path,114,,
6,KOI Fest 2011,9/17/2011,Downtown,Protest the Hero,99,,
7,Heavy TO,8/12/2012,Downsview Park,Periphery,95,,
7,Heavy TO,8/12/2012,Downsview Park,The Faceless,49,,
7,Heavy TO,8/12/2012,Downsview Park,Veil of Maya,132,,
7,Heavy TO,8/12/2012,Downsview Park,Job for a Cowboy,70,,
7,Heavy TO,8/12/2012,Downsview Park,Between the Buried and Me,19,,
7,Heavy TO,8/12/2012,Downsview Park,Cannibal Corpse,26,,
7,Heavy TO,8/12/2012,Downsview Park,Deftones,37,,
7,Heavy TO,8/12/2012,Downsview Park,System of a Down,117,X,Easily the craziest crowd I've ever been in
7,Heavy TO,8/12/2012,Downsview Park,Killswitch Engage,72,,
7,Heavy TO,8/12/2012,Downsview Park,Five Finger Death Punch,54,,
7,Heavy TO,8/12/2012,Downsview Park,Kataklysm,144,,
7,Heavy TO,8/12/2012,Downsview Park,Goatwhore,145,,
8,Crush 'Em All 2 Tour,9/21/2011,Axis Club (Mod Club),Veil of Maya,132,,
8,Crush 'Em All 2 Tour,9/21/2011,Axis Club (Mod Club),After the Burial,5,X,"Dragged Darren to his first metal show, had a blast at front stage"
8,Crush 'Em All 2 Tour,9/21/2011,Axis Club (Mod Club),Structures,115,,
8,Crush 'Em All 2 Tour,9/21/2011,Axis Club (Mod Club),Misery Signals,83,,
9,All Stars Tour,8/2/2011,Rebel (Sound Academy),After the Burial,5,X,Born of Osiris didn't make it over the border...again
9,All Stars Tour,8/2/2011,Rebel (Sound Academy),Emmure,146,,
